favorite_stock_news_id,created_date,last_modified_date,member_id,stock_news_id
3,2024-10-10,2024-10-10,26,20241009210002100
4,2024-10-10,2024-10-10,10,20241009171616394
9,2024-10-10,2024-10-10,10,20241009210301129
10,2024-10-10,2024-10-10,22,20241009211200214
14,2024-10-10,2024-10-10,26,20241002102557263
15,2024-10-10,2024-10-10,1,20241009233002214
18,2024-10-10,2024-10-10,22,20241004175910971
19,2024-10-10,2024-10-10,26,20241004175910971
